linha,id_onibus,timestamp,lat,lon,is_eletrico
3063-1,48249,2025-08-28T15:25:20Z,-23.558532,-46.399539,True
3063-1,48033,2025-08-28T15:25:23Z,-23.5978195,-46.458170249999995,False
3063-1,48717,2025-08-28T15:25:28Z,-23.609882499999998,-46.47384825,True
3063-1,48388,2025-08-28T15:25:21Z,-23.558706,-46.3995355,False
3063-1,48078,2025-08-28T15:25:05Z,-23.562205499999997,-46.416789,True
8028-10,85686,2025-08-28T15:25:23Z,-23.622413,-46.727976,False
8028-10,85677,2025-08-28T15:25:22Z,-23.585691,-46.724018,True
8028-10,85687,2025-08-28T15:25:07Z,-23.5948415,-46.720512125,False
8028-10,85689,2025-08-28T15:25:33Z,-23.61700575,-46.709874125,False
8028-10,85693,2025-08-28T15:25:30Z,-23.610664,-46.706013,False
8028-10,85684,2025-08-28T15:24:58Z,-23.622413,-46.727976,True
8028-10,85688,2025-08-28T15:25:36Z,-23.585691,-46.724018,True
3737-10,45296,2025-08-28T15:25:25Z,-23.530963999999997,-46.5181355,True
3737-10,45603,2025-08-28T15:25:32Z,-23.5564995,-46.507994999999994,False
3737-10,45527,2025-08-28T15:25:08Z,-23.537674,-46.517155,False
3737-10,45668,2025-08-28T15:25:40Z,-23.564117500000002,-46.505180499999994,False
3737-10,45667,2025-08-28T15:25:08Z,-23.5505565,-46.5080375,True
675I-10,71543,2025-08-28T15:25:27Z,-23.612108624999998,-46.650991375000004,True
675I-10,71375,2025-08-28T15:25:12Z,-23.63577325,-46.694183125,True
675I-10,71549,2025-08-28T15:24:59Z,-23.629018000000002,-46.6656615,True
6008-10,78224,2025-08-28T15:24:59Z,-23.6873755,-46.763414499999996,True
6008-10,78068,2025-08-28T15:25:17Z,-23.683962,-46.761530500000006,False
6008-10,78630,2025-08-28T15:25:26Z,-23.68727,-46.7629345,True
6008-10,78645,2025-08-28T15:25:26Z,-23.680833749999998,-46.734853,False
2717-10,45054,2025-08-28T15:25:33Z,-23.5287615,-46.516549499999996,False
2717-10,45282,2025-08-28T15:25:26Z,-23.52753775,-46.51859400000001,False
2717-10,45234,2025-08-28T15:25:24Z,-23.5033225,-46.50897675,True
2717-10,45071,2025-08-28T15:25:20Z,-23.507675374999998,-46.513137,False
179X-10,25177,2025-08-28T15:25:13Z,-23.455299500000002,-46.58985,False
179X-10,25150,2025-08-28T15:25:11Z,-23.5275095,-46.6422255,True
179X-10,25146,2025-08-28T15:25:08Z,-23.473675875,-46.58939,False
179X-10,25153,2025-08-28T15:25:07Z,-23.432215,-46.571414000000004,True
179X-10,25253,2025-08-28T15:20:55Z,-23.439108,-46.580019,False
179X-10,25143,2025-08-28T15:22:33Z,-23.526865,-46.6650945,True
179X-10,25056,2025-08-28T15:25:10Z,-23.43701,-46.576236,False
848L-10,15009,2025-08-28T15:25:39Z,-23.4130405,-46.750367,True
848L-10,15200,2025-08-28T15:25:12Z,-23.422784,-46.728111,False
848L-10,15201,2025-08-28T15:25:33Z,-23.414156,-46.75083600000001,True
848L-10,15176,2025-08-28T15:25:02Z,-23.4144305,-46.7510005,True
848L-10,15252,2025-08-28T15:25:19Z,-23.446334999999998,-46.722477,True
848L-10,15179,2025-08-28T15:25:23Z,-23.422516,-46.72832375,False
848L-10,15152,2025-08-28T15:25:10Z,-23.4144305,-46.7510005,True
848L-10,15246,2025-08-28T15:25:17Z,-23.4144305,-46.7510005,False
6L05-10,66237,2025-08-28T15:25:22Z,-23.877174250000003,-46.64938925,True
6L05-10,66106,2025-08-28T15:25:39Z,-23.8685005,-46.6783815,True
6L05-10,66260,2025-08-28T15:25:11Z,-23.828234000000002,-46.7270185,True
6L05-10,66650,2025-08-28T15:25:01Z,-23.828234000000002,-46.7270185,True
6L05-10,66828,2025-08-28T15:25:04Z,-23.8774625,-46.649516,False
719R-10,80345,2025-08-28T15:25:40Z,-23.562497999999998,-46.764742999999996,False
719R-10,80341,2025-08-28T15:25:38Z,-23.5621495,-46.7646755,True
719R-10,80106,2025-08-28T15:25:12Z,-23.5554925,-46.674043375,True
719R-10,80347,2025-08-28T15:25:29Z,-23.572761999999997,-46.723543875000004,True
719R-10,80274,2025-08-28T15:25:40Z,-23.535085375,-46.648428249999995,False
719R-10,80339,2025-08-28T15:25:36Z,-23.5626215,-46.764761,True
719R-10,80094,2025-08-28T15:25:00Z,-23.568308000000002,-46.757324499999996,False
6030-10,66832,2025-08-28T15:25:08Z,-23.7399535,-46.7088475,False
6030-10,66503,2025-08-28T15:25:17Z,-23.705073,-46.702496499999995,False
6030-10,66511,2025-08-28T15:25:34Z,-23.739430249999998,-46.708802250000005,True
6030-10,66833,2025-08-28T15:25:15Z,-23.739430249999998,-46.708802250000005,True
6030-10,66831,2025-08-28T15:25:12Z,-23.72830475,-46.712356125,True
6030-10,66007,2025-08-28T15:25:35Z,-23.74097175,-46.710283000000004,True
6030-10,66784,2025-08-28T15:25:33Z,-23.716895,-46.699312750000004,False
172K-10,25148,2025-08-28T15:25:34Z,-23.516759875,-46.588538,False
172K-10,25067,2025-08-28T15:25:18Z,-23.486165,-46.592611500000004,True
172K-10,25636,2025-08-28T15:25:06Z,-23.5397765,-46.5765665,True
172K-10,25182,2025-08-28T15:25:23Z,-23.456327,-46.5947025,True
